,text
1025, cibc thanks     sb
1026, pixie_purfect hello  sorry to hear about this experience  please send us a dm with location details so we could investigate   sb
1028, pixie_purfect  cibc_fcib over to you   kristina
1029, kristenvsmothra hi there  thank you very much for confirming these details  i ve forwarded your feedback to the ap  https   t co x0twjayqie
1030,usd cad  towards 1 32 in q1   cibc   https   t co p8zbdpxonn https   t co 5ayr3zwsim
1031,click to read the latest cibc wood gundy isg daily market beat  https   t co yluzz0kcgt
1032, weekendinspiration   there are no limits to what you can accomplish  except the limits you place on your own think  https   t co vac2mcwher
1033,gilead sciences  gild upgraded by cibc to outperform https   t co reaaevitzx
1034,    cibc brite nuh fuck  their in branch atm ain t working and they want to charge me to withdraw funds     
1035,gilead sciences  gild  upgraded by cibc to outperform  https   t co wphtjbsb6b
1036,you only have until the end of the month to get your charity bears inspired by jack  amp  lily pinchuk  stop by your lo  https   t co cxkljhqzqm
1037, cibc looking up at the touch screen  buttons  like that often results in touching the wrong one as well  i was try  https   t co zvkjoj1w6f
1038, cibc old placentia rd  mount pearl  nl  all the atm s that have been installed in this area in the last several ye  https   t co jqxksa1ok1
1039,rt  ulmcenter    we spotted  mcconnellscholar nicole fielder   19  catching  hamilton in chicago this winter break   mclife  4 365     cibc 
1040,heathbridge capital management ltd continues to hold holding in sierra wireless  swir  lilly eli  amp  co  lly holder c  https   t co la2dnxkfmd
1041, today s report suggests that u s  economy is on more solid footing than previously thought  and stronger hiring an  https   t co v7e968nguf
1042,ready to eat clean in 2019   please join emma larocque  a registered holistic nutritionist  amp  certified plant based  https   t co aosa0vn8eq
1043,click to read the latest cibc wood gundy isg daily market beat  https   t co fmboxmbfl8
1044,rt  cmcdavid97  some extra bonding time with my bro while helping the yeg flight at their baggage pick up  thanks  cibc  amp   torontopearson f 
1045,click to read the latest cibc wood gundy isg daily market beat  https   t co plbuqhrjbn
1046, robertjglasco please use this link  https   t co vcrhclsxad to reset your password  if that doesn t work  give us  https   t co 697txczmcm
1047, robertjglasco hi there  our online banking is currently up and running  please give us more details regarding the  https   t co q9fgn2n4em
1048, cibc are you having issues with online banking 
1049,rt  fxstreetnews  cad  depreciation not yet a risk to inflation   cibc https   t co x8vzlc5rkp  canada  usdcad  banks
1050,rt  fxstreetnews  cad  depreciation not yet a risk to inflation   cibc https   t co x8vzlc5rkp  canada  usdcad  banks
1051,cad  depreciation not yet a risk to inflation   cibc   https   t co cwwx3ozhk1
1052,andrew quinn spent 15 years as head of mining investment banking for europe and africa at cibc  then there s christ  https   t co gqyacfhlqt
1054,cad  depreciation not yet a risk to inflation   cibc https   t co x8vzlc5rkp  canada  usdcad  banks
1055, cibc thats a bit creepy diana ngl so ama just keep it to myself
1056,click to read the latest cibc wood gundy isg daily market beat  https   t co rkc5rps0lx
1057, cibc it looks like an original star trek set 
1058,click to read the latest cibc wood gundy isg daily market beat  https   t co yv7ihbjsh6
1059, the_iraqi_ali hi ali  i have spotted your tweet and would like to share your experience with the banking centre  p  https   t co j6w7vrf1wt
1060,shop and earn this new year with your cibc firstcaribbean rewards card  https   t co wcvhzwqcw3 https   t co ctf54bknft
1061, pa13baker  cibc_fcib i really commented because there were people gloating because the dollar had gone down to 124  https   t co eskf08ppdn
1062,shop and earn this new year with your cibc firstcaribbean rewards card  https   t co nxcklqeqol https   t co jflphskcs7
1063,shop and earn this new year with your cibc firstcaribbean rewards card  https   t co sh8wckrefd https   t co tlvakyjofm
1064,i love how me and the teller  cibc are on a first name basis
1065, 2lan hi allan  i would be happy to get someone to reach out to you to get this fixed  to do this  i ll need you to  https   t co bwlxrzwbrm
1066,cibc economics   i ll get back to you later   the week ahead  https   t co h18td8yx6k
1067, hafeezhussain10 hi hafeez  i appreciate you letting me know  if you would like to check on the status of a refund  https   t co 7ezpiffyj5
1068, cibc hey krishan  i had to hang up after 25 minutes and didn t had my problem solved  i was trying to unblock my credit card 
1069, 2lan hi allan  sorry to keep you waiting  were you able to get your concern addressed  if not  please let me know  https   t co e3kjyhmehw
1070, cibc it was an inconvenience fee that the atm took my 25 00 and did not put it in my account
1071, crunchycarpets hi kerry  i d like to look into this for you  could you provide us with the phone numbers that called you  thanks   kristina
1072, hafeezhussain10 hi again  hafeez  thanks for the information  can you please provide me with more information abou  https   t co 1ourdm80ej
1073, jackfleming007 hi jack  our telephone banking department is open 24 7  unfortunately  we have been experiencing hi  https   t co 2htinwqd9r
1074,canadians are most concerned about rising inflation  the loonie s weakness and higher interest rates  according to  https   t co alwhzqtt9b
1075,shop and earn this new year with your cibc firstcaribbean rewards card  https   t co ru3ngtcsps https   t co ib3rgpilwz
1076, cibc 4 calls from two numbers   robo voice telling me i can get 0  int on visa  is this legit and annoying or some scammer 
1077,barrick gold s  abx  sector outperform rating reaffirmed at cibc  https   t co q5ve9x5oh3
1078, cibc thank you  i was just wondering if there was an issue or the lines were closed  i held for near 2 hours and gave up  i ll call today 
1079,barrick gold  abx stock rating reaffirmed by cibc https   t co qtol3rksbe
1080,click to read the latest cibc wood gundy isg daily market beat  https   t co 0cwkl9bp3x
1081,click to read the latest cibc wood gundy isg daily market beat  https   t co 551ma5l28o
1082,15 minutes on the phone waiting to talk to a  cibc agent just to be put on hold again
1083, cibc i didnt get my  25 credit in my chequing account
1084, ivygordon3  cibc_fcib had usd at 130 1  cheques  amp  transfers at close of business yesterday   don t believe you get  https   t co oriy9wzwc9
1085, hafeezhussain10 hi hafeez  sorry for the wait  please let me know what you are calling about and i would be happy  https   t co u1f45sytdp
1086, orhlarhlehkhan hi odubayo  to make sure you get your credit card delivered to your new address  please call us at  https   t co 6o8pb44xed
1087, cibc i want to change the address where my credit card would be delivered because i already move out of the house
1088,making updates for april s design build event   infrastructure  building  publicprivatepartnership  climatechange  https   t co qfkauaj6qg
1089, cibc why is your wait time in online banking over 65 mins 
1090,click to read the latest cibc wood gundy isg daily market beat  https   t co kjpetpi83w
1091,click to read the latest cibc wood gundy isg daily market beat  https   t co d19mr3lify
1092,rt  goldiein604  bloomberg story on cibc staffer fired for helping client extract money from china   vanre https   t co oqetoyvkn2
1093, tonytroubles hi there  which location did you visit when this happened  apologies for any inconvenience   diana
1094, freejimnow to send us a secured message  login using the full desktop site and select  write to us  on the left me  https   t co uh99ffzljy
1095, freejimnow hi james  i d like to review your accounts in detail and make sure that you ve got the right banking se  https   t co hazptatojc
1096,rt  cafanet  amazing day learning  farmmgtupdate feb 7  cityofreddeer w   dobbiepeter  fao_alberta on  oil  amp   gas  water  surfacerights  fc 
1097,another ridiculous long line and it s only 12 47pm  coming to the bank used to be fun lol  cibc
1100, theeamandadm hello  sorry to hear about your experience with us  please send us a dm so we could assist   sb
1104,get a free  25 credit if you use cibc s global money transfer service online   use my referral link  https   t co nsz3taotup
1105,click to read the latest cibc wood gundy isg daily market beat  https   t co cvvog1ixtv
1106,click to read the latest cibc wood gundy isg daily market beat  https   t co ruqqmtujs0
1107, panerabread you need to fix your payment system  debit cards from  tdcanadatrust and  cibc don t work  time to eat elsewhere
1108,click to read the latest cibc wood gundy isg daily market beat  https   t co uebfd9lcte
1109,click to read the latest cibc wood gundy isg daily market beat  https   t co hwwto9c0cf
1110, farmadvisors feb 7  cityofreddeer learn from  farmplan knitel on  riskmitigation on  farms  cibc  hrialberta  https   t co twxi1obdkh
1112,  we spotted  mcconnellscholar nicole fielder   19  catching  hamilton in chicago this winter break   mclife  4 365  https   t co ekylzusxss
1113,analog devices  adi stock price declined while cibc world markets cut stake  mathes company stake in boeing co  ba  https   t co q4dmgf7wzh
1114,cibc world markets continues to hold position in svb finl group  sivb  as pepsico   pep share value rose  sharehold  https   t co f33kznzjgl
1115,canadians are most concerned about rising inflation  the loonie s weakness and higher interest rates  according to  https   t co b6xjsjwbg4
1116, hamilton is in  chicago  have you seen the play everyone has been talking about  here s your chance  don t miss yo  https   t co iqd6fbvaos
1117,randgold resources  gold stock rating upgraded by cibc https   t co 2gduytczed
1118,randgold resources  gold stock rating upgraded by cibc https   t co 7vq7d2ih0z
1119,the  tweets on this  twitter handle are for entertainment purposes only and they are not investment advice  weed  https   t co mafcrtyrmq
1120,cibc monthly world markets report  january 2019 https   t co lnrfy8u2vw
1121,click to read the latest cibc wood gundy isg daily market beat  https   t co q7im0mtxpd
1122,applications for data day 2019 are due in 5 days  with speakers from microsoft  fundthrough  cppib and cibc  you do  https   t co lvzuprhgwq
1123,rt  catastrophizer   atikokan s td and cibc bank branches closed last year  only a small rbc branch remains  if williams wants to bank in p 
1124,rt  catastrophizer   atikokan s td and cibc bank branches closed last year  only a small rbc branch remains  if williams wants to bank in p 
1125,rt  uwaterloocareer  do you love data and design  check out the data vizart student challenge from  tableau   cibc and  deloitte   show off 
1126, luc_bourassa_1 hi luc  i d like to learn more about what s been happening  kindly send me additional details of yo  https   t co ir5dv5szlm
1127, atikokan s td and cibc bank branches closed last year  only a small rbc branch remains  if williams wants to bank  https   t co hnb2lnbkj0
1128,rt  mhnonline  goldman sachs buys nashville community for  73m  https   t co lc9l0y1v2w  goldmansachs  cibc  livelmc https   t co g5jzq9xsyd
1129,do you love data and design  check out the data vizart student challenge from  tableau   cibc and  deloitte   show  https   t co 7tqx6fnrsd
1130,cad  dec jobs report  a  mixed bag  but nothing that should move market much   cibc   https   t co vhdlqc3en0
1131,catalyst biosciences  cbio now covered by cibc https   t co li5krvdhnz  stocks
1132,rt  cibc_fcib  enjoy peace of mind while shopping this new year with your cibc firstcaribbean visa debit card   https   t co ye4hhn2ctg htt 
1133,enjoy peace of mind while shopping this new year with your cibc firstcaribbean visa debit card   https   t co cw6reu2gi8
1134,enjoy peace of mind while shopping this new year with your cibc firstcaribbean visa debit card   https   t co inyzrtztyg
1135,enjoy peace of mind while shopping this new year with your cibc firstcaribbean visa debit card   https   t co ipy8jpmuce
1136,enjoy peace of mind while shopping this new year with your cibc firstcaribbean visa debit card   https   t co wztlrapsx1
1138,goldman sachs buys nashville community for  73m  https   t co lc9l0y1v2w  goldmansachs  cibc  livelmc https   t co g5jzq9xsyd
1139, lunararchivist hi lunar  we received your private message and i will chat with you shortly through there   diana
1140,g10 forecaster of 2018  cibc sees weaker dollar in 2019 via  fxweek  https   t co 251wsgdl5c  trading  fx  currency  https   t co caz4kgwv7q
1141, catalystinc  a key member of the  canadiangenderandgoodgovernancealliance  https   t co ksg2yjkpex  shares  the ho  https   t co g0dz8birzf
1142, muadonellad hello  sorry to hear about this experience with us  please send us a dm with the branch location so we  https   t co nxxli3hyjn
1143,catalyst biosciences inc  initiated coverage by cibc oppenheimer  ranked 58th  to outperform with  24pt  cbio  cbio https   t co vabfp5hoax
1144,rt  chicagoscholars  great panel at today s careers that make an impact event  big thanks to  generalelectric   rushmedical   civiltecheng  
1145,canadians say paying down debt is their top financial priority in 2019 but what about saving  https   t co iy8u5mjhge
1146, cibc_fcib      you all really need more tellers      i ve been in here foreverrrr even the elder folk complaining     
1147, queennes_ hello  please visit our website at https   t co rh1uyatf1v to learn more about cibc firstcaribbean  feel  https   t co gdg4o1kh6g
1148, cibc thanks     sb
1149, queennes_  cibc_fcib over to you      nida
1150, bbd b  cibc cuts  bombardier price target   jan 4th  2018 
1151, chroniclesofabe hi there  this isn t the experience i want you to have with us  i d like to pass your experience a  https   t co uciv1c4ofb
1152, jozbae hello  we noticed your tweet  amp  would hate to see you go  please send us a dm so we could discuss your experience with us   sb
1153,looking for a cibc firstcaribbean branch or instant teller near you  check out our locations page   https   t co imtck6s5fq
1154,looking for a cibc firstcaribbean branch or instant teller near you  check out our locations page   https   t co 1w1bvjxa9f
1155,looking for a cibc firstcaribbean branch or instant teller near you  check out our locations page   https   t co g6ypebykqc
1156, cibc thanks   sb
1157, hsg_xo hello  please send us a dm so we could discuss  happy to assist   sb
1158, edlobster2 hi ed  spotted your tweet  if you receive a text message or email claiming to be us  please feel free t  https   t co e6i82vdzvy
1160, lylat_r hi layla  i d be more than happy to get this addressed for you  which of our banking centre locations did you visit   krishan
1161,looking for a cibc firstcaribbean branch or instant teller near you  check out our locations page   https   t co 9fypzlzqji
1162, wendyyxoxo_ sorry to hear about this experience  please feel free to message us should you change your mind   sb
1163,cibc  us labor market posted a stellar performance in dec  with both hiring and wages topping expectations  312k  https   t co inbihgm1xu
1164,can any chicago people help me  is there any parking near the cibc theater or should i take a train in from the suburbs 
1166, davemugford hi dave  i hope you are able to get through to one of my colleagues at telephone banking  if not  plea  https   t co pvdhlpyvcc
1167,rt  coachmotto  what to do with a mistake      recognize it     admit it    learn from it    forget it    dean smith
1168, cibc_fcib that s okay  i m tired of sending private messages and e mails
1170, jackfleming007 hi jack  i would love to assist you  can you please send me a dm with your full name  phone number  https   t co cbu8wjldnv
1171,it is 7 40am   cibc  i ve been on hold for 15 minutes so far because of  higher than normal call volume   how can t  https   t co gmbkes11p5
1172, brittanyxxoxo please sign in to your online banking through the full site  click on  interac e transfer  on the le  https   t co rxd2qaklow
1174, brittanyxxoxo hi brittany  we would love to review this with you through our chat channel  the social media team d  https   t co vdzxuf35sn
1175, juliankostiuk hi julian  i have received and responded to your dm   shara
1176, wendyyxoxo_ good morning wendy  we are sorry to hear about your experience with us  please send us a private messa  https   t co iqqom7legv
1177, beberfect good morning amber  we noticed your tweet and would like to learn more in order to improve our service   https   t co 65s1tkyytx
1178, lylat_r hi layla  we would love to look into this for you  can you please let me know which banking centre you went into   shara
1179, ajadhao awesome  amol  let us know if you have any questions   shara
1180, consciousinv hi there  please try to sign in again and let us know if you are still experiencing this same error a  https   t co lskpkgvyui
1181,cibc world markets has cut its ubs group ag  ubs stake by  637 995  market value declined  carmignac gestion holdin  https   t co qfkaldna0n
1182, vpd2fox15 thanks for the info  i received one from cibc who i do not deal with  i reply to them  scam reported  th  https   t co wqjxggajhe
1184,which is better scotia bank or cibc  
1185,canadian national railway  cnr price target cut to c 118 00 by analysts at cibc https   t co hbnky8bcew
1186,is cibc phone customer service down  been holding for 90 minutes  cibc  news1130  ctvvancouver  georgiastraight
1187, indivisiblenet no deal  never  we have to hold every member of the cibc that is his family accountable   and many  https   t co 7lqgb5gkbo
1188, chubsluu  cibc sorry  was just suggesting what i would do lol 
1189, avtarg  cibc he s dead but thanks
1190, pcfinancial  wadlukm pcf really gone downhill since cibc fired them  just close your account and go with a simplii  https   t co nmtgltkk8q
1192,rt  specincanada  reminder that specialisterne is recruiting for roles with cibc  do you identify as someone on the  autism spectrum or wit 
1193,can you imagine it s been 3 4 months now i m trying to change my goddamn number on my cibc account to do online ban  https   t co ayo6lueljp
1194, quarry_rock pull up a chart of the cdn housing market   i put on some lt puts on cibc today  it s the biggest para  https   t co od0w9chbnr
1195, lunararchivist  cibc banks worked so hard to make their customer s leave  now they are opening coffee shops to bri  https   t co mzeg3pnv5d
1196,rt  specincanada  reminder that specialisterne is recruiting for roles with cibc  do you identify as someone on the  autism spectrum or wit 
1198, sarahsuebeth hi sarah  i m happy to read that my colleague sean was able to provide you with a great banking exper  https   t co prqwx9bqdr
1199, cibc  lunararchivist more modern and innovative ways means we re going to bank in a way that means i get an espres  https   t co l8en3kkrge
1200, theagenda  hg_watson life in northern ontario  no bus  no rail  amp  now  no bank     the td  amp  cibc bank branches in a  https   t co yiu0ocfmlg
1201, lunararchivist i appreciate your feedback  many clients tell us they prefer to bank in more modern  amp  innovative wa  https   t co ahidsrtrrp
1202, sarahsuebeth  cibc oh yes  sounds good i ll be fine  i ll tell that to the car rental company too  and the hotel  
1203, mkeefeus  cibc that was  word for word  what i asked when they told me that 
1204, cibc hellio  i ve been charged and overdraft free when i never actually used my overdraft  i need this refunded as  https   t co gtndxodeaq
1205,canadian banking is controlled by the big 5  td bank  rbc  bank of nova scotia  bank of montreal  cibc   amp  4 of thos  https   t co ypwbopsdyg
1206,thanks cibc    another service charge  overdraft fee and interest fee was deposited for december  i want to know wh  https   t co vjlkd5cthb
1207, lylat_r  cibc how does a fucking bank not have cash what the fuck https   t co vho98ioool
1208, hamiltonmusical thank you so much to  lucky_seat and cibc theater i won in the lottery and was able to take my 15  https   t co jdy3jrrm0n
1209, lylat_r  cibc first air canada  now cibc     fuckaircanada and  fuckcibc
1210,i just went to a local  cibc branch and asked to withdraw cash in common bills that are currently in circulation  i  https   t co rrqbslzkvy
1212, scotiabankhelps  bighill44 bazinga   that got their attention    i ve been with  cibc since i was about 8 years ol  https   t co qrmj3ap3uo
1213,finally  dorky  hamilton group selfie  mla19  kidlitmla  conferenceadjacent   cibc theatre https   t co nxmm41djnm
1214,day of tickets    hamilton   cibc theatre https   t co p8aalkardf
1215, anitasharma  marketcall  bnnbloomberg there is an error in performance of past picks  cibc is not the 115 but 102 today 
1216, cibc will try
1217,hamilton    cibc theatre    broadwaychicago in chicago  il w   renbog  https   t co v9cldpx9yw
1218, chroniclesofabe  cibc just a few casual days in another country with no money  what s the big deal       
1219, ctvnews maybe look into how canadian banks  like cibc   transferred money to iran not following independent transm  https   t co 1w8ynuyboi
1220,and now  the moment we ve been waiting for      cibc theatre https   t co td7d8u6xwk
1221, sarahsuebeth  cibc they re so bad  left me stranded at at an airport in another country with no money telling me t  https   t co itktbdq325
1222, chubsluu  cibc credit union also have no limits on funds guaranteed  banks limit at 80 grand 
1223, cibc aventura rewards  cibc aventura reward redemption   50  off on select items https   t co bbgn5mtkof
1224, hsg_xo hi there   please contact  cibc_fcib on twitter for assistance  alternatively  cibc firstcaribbean can reac  https   t co n0o5z1vmjn
1225,rt  kmedeiroscibcma  17 really positive quotes to start your new year   and yes  your work day as well  enjoy   beyondmortgageswithmedeiros 
1227,get your sh t together  cibc
1229,new stratus report compares  atbfinancial   bmo   cibc   nationalbank   rbc   scotiabank   td_canada   https   t co zvb8vcsjfu
1230,rt  chicagoscholars  great panel at today s careers that make an impact event  big thanks to  generalelectric   rushmedical   civiltecheng  
1231, chubsluu  cibc td hands down 
1232, theagenda  hg_watson very similar situation in northern bc  https   t co iceb9gcnw0
1233,is  cibc having issues at the moment because all my money gone from my chequing account 
1234,did you know  cibc hires scammers to make prank wake up calls to innocent victims who ve never been clients  world   https   t co ketnobzeoe
1235,great panel at today s careers that make an impact event  big thanks to  generalelectric   rushmedical   https   t co l0fdqdzsz0
1236, sarahsuebeth  cibc unbelievably poor service you received   almost makes me want to change banks just out of principle  cibc
1237,2 cibc branches have closed in my riding  online banking with out affordable broadband  really  just another reason  https   t co wqpbiok9to
1238, bringduhrukus hi there  i d like to help out  our online  mobile banking is currently available  let us know what  https   t co nacmq8nify
1239,i could bitch about  cibc for hours  but let s just take a moment to appreciate sean s outstanding customer service   therealmvp
1240, cibc your online isnt working
1241, cibc whats wrong with the app
1242,17 really positive quotes to start your new year   and yes  your work day as well  enjoy   https   t co 6iyemqvvxw
1243, lunararchivist hi lunar  our team is still available to serve you  we have modernized some locations to offer a mo  https   t co 9onvwrtnwd
1244, dimcl2  kelans27 there was also the motorcycle shop  cibc bank branch  insurance company  and apollo pizza 
1245,wow    roll over      instead of being real    because imho     we can all live together   with the  solution 2 pol  https   t co vvdyst5kak
1246,thanks  cibc  mlsefoundation  amp   mapleleafs  hockey4youth  givinghockey  theonlybarriershouldbetheboards  nextgengane https   t co czkxwxz2ik
1247,why saving for  retirement isn t a priority for canadians   cibc poll   finserv  personalfinance  https   t co 1xonfdykbm
1248,rt  stratusresearch  new stratus report compares  atbfinancial   bmo   cibc   nationalbank   rbc   scotiabank   td_canada   fccagriculture  
1249,rt  cibcfcibjm  ring in the new year with the smart card  apply for a cibc firstcaribbean chip  amp  pin and contactless card today  https   t  
1250, tjd187 we love you too  ty  the best part of our job is you  our client  helping you achieve your goals is a privi  https   t co yhsmckqm87
1251, thederekseguin  td_canada i hear you 100  i m loving cibc
1252,it may be a new year  but not necessarily a happy one for all canadians  a new cibc poll finds paying down  debt is  https   t co t8rnepooq5
1253,rt  stratusresearch  new stratus report compares  atbfinancial   bmo   cibc   nationalbank   rbc   scotiabank   td_canada   fccagriculture  
1254,new stratus report compares  atbfinancial   bmo   cibc   nationalbank   rbc   scotiabank   td_canada   https   t co pbjtzlwkqc
1255, creativelytired  ezraklein financial services does not   banking  also there are lots of private stakeholders in c  https   t co yreqediwzd
1256,cibc selling 11 mil weed today   these guys are really confusing   lead bull turns lead bear   potstocks
1257, thewazzi hello  we noticed your tweet and would like to discuss your concerns further  please sent us a dm with details   sb
1258,rt  cibc_fcib  unsure about strange transactions on your account  with cibc firstcaribbean mobile app you can freeze your visa debit and cr 
1259,unsure about strange transactions on your account  with cibc firstcaribbean mobile app you can freeze your visa deb  https   t co zidyoi4mek
1260,unsure about strange transactions on your account  with cibc firstcaribbean mobile app you can freeze your visa deb  https   t co vw270ncxqk
1261,unsure about strange transactions on your account  with cibc firstcaribbean mobile app you can freeze your visa deb  https   t co zbr7zm3frr
1262,unsure about strange transactions on your account  with cibc firstcaribbean mobile app you can freeze your visa deb  https   t co fobiwzwome
1263, alexandriawag hi alex  we d be happy to discuss your service fees with you  although we do not have access to your  https   t co wlsnb1qk3g
1264, chubsluu  cibc big fan of  tangerinebank  can t beat their interest rates and lack of fees imo
1265,lol cibc always grabs my shirt with the money monitor   https   t co vlvrsl8mqf
1266, chubsluu  cibc i like td but wait for there offer of ipad or money to switch royal bank also does this once a year
1267, tconnors83  chubsluu  cibc i have been working in the financial industry field for over 30 years now  with a bank   https   t co b0n3bpuqio
1268,gilead sciences  gild upgraded to  outperform  at cibc https   t co gobouu79jz
1269,gilead sciences  gild upgraded to  outperform  at cibc  https   t co pfbzaywo4x
1270,gilead sciences  gild upgraded by cibc to outperform https   t co yyy3qsl3sb  stocks
1271,gilead sciences inc  upgrade by cibc oppenheimer  ranked 58th  to outperform with  85pt  gild  gild https   t co nyq7xjnbr7
1272,wow if cibc wasn t moving like brampton nigga my lashes would be done right now and id be on my way to get my wig   https   t co asqz5j92ci
1273, cibc i was charged over  80 more than once and i would like a full refund
1274, chubsluu  cibc literally any credit union
1275, chubsluu  xbraedenn  cibc  rbc coast capitol has no fees  i ve paid exactly  0 over the last 5 years after being s  https   t co d6026rf8hl
1276, scunliffe hi stephen  thanks for bringing this phishing site to our attention  we re currently taking the necessar  https   t co wbztpbmvmn
1277, alexandriawag the banking centre can make these changes for you  you can also give our telephone banking team a ca  https   t co oe2teqxf45
1278, alexandriawag hi alex  in order to get your account switched back to a student account  we would require you to pr  https   t co yu3w6qhoxm
1279,ring in the new year with the smarter card  apply for a cibc firstcaribbean chip  amp  pin and contactless card today   https   t co ebmygwlc4v
1280, chubsluu to do this  login using the full desktop site and select  write to us  on the left menu to get started  p  https   t co crdntsgz0o
1281, chubsluu hi vivian  we d certainly love the opportunity to look into this for you and ensure that you re situated  https   t co 4xoecg1dsh
1282, cibc i renewed it in august and then in october i started getting service charges and i contact my branch and they  https   t co mavpivsktj
1283, aworldtraveler_ hi there  sorry to make you wait  which of our banking centres did you visit  i d like to pass you  https   t co w61hujshdk
1284, chubsluu  cibc  rbc i thinky my service charges are like 20 bucks max lol
1285, xbraedenn  cibc  rbc i ll look into it  cibc just charged me  100 service charge for the month lol
1286, chrisconte79  cibc https   t co um504bkq1n
1287, chubsluu  cibc  rbc been my ride or die since day 1
1289,anyone know a better bank than  cibc       
1290,rt  sherryaske  2018 in hacking    marriott hotels    bell canada   bank of montreal  amp  cibc s simplii financial   facebook prediction for 2 
1291,ring in the new year with the smarter card  apply for a cibc firstcaribbean chip  amp  pin and contactless card today   https   t co ns0batpud3
1292,ring in the new year with the smart card  apply for a cibc firstcaribbean chip  amp  pin and contactless card today   https   t co cmxtytcx3l
1293,ring in the new year with the smarter card  apply for a cibc firstcaribbean chip  amp  pin and contactless card today   https   t co u33jffforb
1294,one thing about cibc this line is always long
1295,senior investigator  high risk enhanced due diligence  cibc  toronto on    on a mission to build the relationship f  https   t co olqywag48w
1296,2018 in hacking    marriott hotels    bell canada   bank of montreal  amp  cibc s simplii financial   facebook predicti  https   t co z1pme8xq54
1297,rt  itsbeemarrie  y0ur estimat3d wait tyme iz 40 m1nutes   cibc i m done with y all  i ll put my money in a shoe box before i use a bank ag 
1298,y0ur estimat3d wait tyme iz 40 m1nutes   cibc i m done with y all  i ll put my money in a shoe box before i use a bank again 
1299, buhrnick you re very welcome  nick   shara
1300, itsbeemarrie hi bee  i m hoping that your concerns have been resolved  if not  please send us the details as we d  https   t co qfryc6a51e
1301, cibc okay thank you
1302, buhrnick hi nick  your existing password would have been carried over to the new card automatically  if you attemp  https   t co hhufmvaoyo
1303, cibc the card was gotten 2 weeks ago if that helps a little on time frame
1304, cibc uh oh   
1305, _imsan_ hi there  spotted your tweet  i d like to bring this to the attention of the banking centre in order to en  https   t co 1okc6dwsd8
1306, cibc i have tried going to the forgotten password to change it there  but was getting the same stuff  i did get a  https   t co xd28gkssul
1307,i m at cibc in etobicoke  ontario https   t co 8q5aypn3nx
1308, meetabdul29786 it does not include the day you deposited the cheque  and this excludes holidays like new years day  https   t co fdgbdhacre
1309, cibc does it include the day when the cheque was deposited
1310, cibc your interest rates are pitiful  your fees and charges are outrageous  and for what  to let me access my mone  https   t co oozhsbqxfu
1311, buhrnick hi nick  i m sorry to see you are having an issue logging in to your online banking  to clarify  have you  https   t co orez8ewxir
1312, cibc i m having issues with the website and online app  everytime i go to enter my info in right to log in  forgot  https   t co vvbfilnjbg
1313, terminalfoxx please use this link  https   t co imanawnjua  to book an appointment at your nearest banking centre  https   t co lx9aqc0do0
1315, terminalfoxx hi there  we would love to look into alternative accounts for you  i welcome you to come in to one of  https   t co ts96m4lsn2
1316, cibc nahhhhh you guys are really whack for this  19 hours  nineteen hours to process a etransfer  that needed to be sent 19 hours ago 
1317, alexandriawag hi alex  generally student offers do need to be renewed by providing proof of enrollment  in order t  https   t co t0id8g60p0
1318, meetabdul29786 hi abdullah  a cheque will be cleared on the 4th business day at 11 00pm in the city where your acc  https   t co tkmsh7bamt
1319,we will be serving up fresh pints and belly laughs all night  it s comedy night at cibc  grab a friend and head ove  https   t co o1m9ntak07
1320, nagatalockii thanks for providing us with a screenshot  can you please send us a private message with your full na  https   t co ftbbybnyqp
1321, tigersammy  cibc the only issue i m hesitant to start switching to one without a branch is how inconsistent the mail is here   
1322, terminalfoxx  cibc no physical branches but i use tangerine and simplii  never had an issue with either  scotiaban  https   t co oxzu0v3ccn
1323,anyone got suggestions on a new bank   cibc charges wayyyyy too much for a checking account and i want something with a physical branch   
1324, cibc all sections of the watch app give the same error  https   t co lgrv13trpq
1325, themasterhaxs hi steven  the banking centre leader of the whitemud and 17th street location is now aware of the is  https   t co ipogf1unx0
1326,hi  cibc  clearing a certified  td_canada cheque is taking literally 4  business  days which is  annoying and doesn  https   t co g99hjayqkq
1327, cbcalerts must be a seriously slow day at cibc 
1328, cayman   time to pay for your insurance or taxes on your home  apply for an easy cover revolving loan before 31 oc  https   t co zlqlk9y0km
1329,my bank has been taking 100  from me every month even though i have student account  cibc what s good  give me my money back
1330,the  tweets on this  twitter handle are for entertainment purposes only and they are not investment advice  weed  https   t co plctiiaq1w
1331, nagatalockii can you also let us know where you are experiencing the error code on the app   diana
1332,paying down debt is the  1 goal for canadians says a new cibc poll  that marks the ninth straight year in which deb  https   t co eqfijljrkh
1333, heddleey hi sarah  this doesn t sound right  please send me a dm with your postal code and phone number on file  a  https   t co fbzroejp5e
1334, nagatalockii i would like to investigate further on the error you are experiencing  please send us a private messa  https   t co u180ibppbi
1335, cibc only bank that charges you fees when you fix their mistakes  buh bye cibc you re stuck in 2018 
1336,randgold resources  gold upgraded at cibc https   t co nhbpupoi8j
1337, ajadhao hi amol  glad to learn that the app worked for you  i was unable to replicate the issue on the browser on  https   t co jpj3clgczn
1338, irony_leg hi there  thanks so much for your feedback about our envelope free atms  your business is appreciated an  https   t co oktr0vei6v
1339,dollar will weaken in 2019  says jeremy stretch at cibc   currencyforecast  fx  https   t co tte5qqkq3f
